threshold,precision,recall,f1,predicted_positive_rate
0.05,0.29187349822304715,0.9995319044099532,0.4518129983518197,0.9374797669148591
0.06,0.2922143870693567,0.9994826311899483,0.4522162710466328,0.9363399697852596
0.07,0.29262097530703846,0.9990638088199064,0.45266001384144844,0.9346471349951441
0.08,0.2931320012438621,0.998620349839862,0.45322554495189216,0.932603593395921
0.09,0.2941129477384307,0.9977087952697709,0.4543027338710582,0.9286446530700334
0.1,0.2954092253752602,0.9963784183296378,0.4557086115101834,0.9233368404014244
0.11,0.2972520872788369,0.9937915742793791,0.45762452281145594,0.9152301176216683
0.12,0.2995352232269213,0.9907612712490761,0.45999954245973645,0.9054845149455055
0.13,0.30275416679270395,0.9863266814486327,0.46329834631363337,0.8918474155605913
0.14,0.30649432631757223,0.9808573540280857,0.4670475341373,0.8760790978741771
0.15,0.31097608904120355,0.9746982015274698,0.47151574380854766,0.8580311859285638
0.16,0.3168398362760057,0.9668883961566889,0.47727977526040244,0.8354038523794108
0.17,0.32325220265231724,0.9590293175659029,0.4835261749051319,0.8121762706377469
0.18,0.32958612305005225,0.9483863020448386,0.4891732533611203,0.7877279594259199
0.19,0.3357651339845613,0.9365853658536586,0.4943177385379554,0.7636101219380598
0.2,0.3422693779161607,0.9235033259423503,0.4994370757249732,0.7386357505125715
0.21,0.34855390422269406,0.9100271002710028,0.5040493978780746,0.7147337325995468
0.22,0.35445881020272646,0.894259669869426,0.5076856371596011,0.6906496169202546
0.23,0.36281188360412386,0.8791327913279133,0.5136457853523722,0.6633349519801446
0.24,0.371592951410675,0.8608524267060852,0.5191089189811547,0.6341925650156469
0.25,0.3794771647951711,0.8425720620842572,0.5232798323056443,0.6078288550771554
0.26,0.3869313061762055,0.8251293422025129,0.5268191398999591,0.5837784612064314
0.27,0.39441001278124777,0.8058635131805864,0.5296136783135261,0.5593368943563182
0.28,0.4017476582636575,0.7872135994087214,0.5319958376690946,0.5364128088917665
0.29,0.40847804417396777,0.7672825819167283,0.5331324785593234,0.5142171144922845
0.3,0.41494439961154955,0.7474008376447401,0.5336276725798366,0.4930870292435524
0.31,0.42088892059641864,0.7267307218526731,0.5330562457646262,0.4726785906981763
0.32,0.4277155121020627,0.7070214338507022,0.5329940753672715,0.45251969353620375
0.33,0.43349669389342665,0.686449864498645,0.5314070471558671,0.4334938491421172
0.34,0.4395434916718075,0.6670362158167036,0.5299056640701453,0.41543919283479014
0.35,0.4455215265516773,0.6465385562946538,0.5275292982491406,0.3972698823783317
0.36,0.45078125,0.6254742547425475,0.523950056753689,0.3798424517103701
0.37,0.455111803315163,0.604730229120473,0.5193601624984131,0.36375040466170283
0.38,0.4605754276827372,0.5836905641783691,0.5148755840486797,0.3469299665479659
0.39,0.46593522910008756,0.5639320029563932,0.510271186062842,0.3313302579043919
0.4,0.4719816988433498,0.5438778024143878,0.5053855751290592,0.31545403043056003
0.41,0.4774657380363963,0.5235772357723577,0.49945945945945946,0.30019153987266645
0.42,0.48307307047178055,0.503769401330377,0.4932042113387764,0.28548208697528865
0.43,0.4886411704695315,0.4838137472283814,0.4862154767947115,0.2710491529081688
0.44,0.49424833504435495,0.4625769894062577,0.47788849438145053,0.25621155713823246
0.45,0.5007516285284783,0.44316334072431635,0.4702007528230866,0.2422709614762059
0.46,0.5072151562546109,0.42345405272234543,0.46156531546651985,0.22854618538901478
0.47,0.5141616962807982,0.4056417836905642,0.4535000619723741,0.21597469515485054
0.48,0.5196290263604029,0.38511948755851194,0.44237544748348023,0.20289063343045213
0.49,0.5252124645892351,0.365410199556541,0.43097486561092546,0.19046077479227366
0.5,0.531649398774862,0.3463907366346391,0.4194761023927442,0.17836138987806194
0.51,0.5358107291120874,0.3275190933727519,0.40653812632834363,0.1673343584763138
0.52,0.544038320459155,0.31059374230105935,0.3954330881545724,0.15628709398942484
0.53,0.5529821304246925,0.2935205715693521,0.3834875673935785,0.14530727311967195
0.54,0.5621979773825537,0.2780241438778024,0.37205545390105993,0.13537957267724182
0.55,0.5708272624251255,0.2606060606060606,0.3578423910285685,0.12497976691485918
0.56,0.5811915887850467,0.24513426952451342,0.3448275862068966,0.1154634725369591
0.57,0.5875174780729631,0.22774082286277408,0.3282437326894397,0.10611578720189921
0.58,0.5954620918649696,0.2120719389012072,0.312756603567925,0.09749649293190893
0.59,0.6021878536401358,0.19664942103966493,0.2964806388708329,0.0893965145138664
0.6,0.6120618042864263,0.18152254249815225,0.28000304020673406,0.08118862630840618
0.61,0.623077631457777,0.16669130327666912,0.26301774572877995,0.07323702384806302
0.62,0.6291987049777418,0.15321507760532152,0.2464239014145897,0.06666127117729578
0.63,0.6381682833295736,0.1393939393939394,0.22880944678097703,0.059795510952843425
0.64,0.645646404650575,0.12586844050258683,0.21066738139908872,0.053368134239775544
0.65,0.6565081173454856,0.11357477211135748,0.19364866000168024,0.047358907952951335
0.66,0.66629392971246,0.10275930032027593,0.17805763073639275,0.04221970432718247
0.67,0.6738732136313668,0.09061345158906134,0.15974635163307851,0.03681072623286932
0.68,0.6826780021253985,0.07913279132791327,0.1418258085881444,0.03173222186252293
0.69,0.6876678876678877,0.06937669376693767,0.12603782029763902,0.027618161217222402
0.7,0.6961181923522596,0.05920177383592018,0.10912310975886653,0.02328153663537283
0.71,0.701012923506811,0.04944567627494457,0.09237567026442363,0.019309107586058055
0.72,0.7062028499580888,0.04151268785415127,0.07841586001489204,0.016092047048667315
0.73,0.7076461769115442,0.03488543976348855,0.06649292103965626,0.013495467788928456
0.74,0.7080200501253133,0.027839369302783936,0.05357227516237614,0.010764001294917449
0.75,0.7165775401069518,0.023109140182310913,0.04477433828969665,0.008828369483112119
0.76,0.7260155574762316,0.020694752402069475,0.040242412628452344,0.00780322650264379
0.77,0.7267015706806282,0.01709780734170978,0.03340955590323745,0.00644086543649509
0.78,0.7326478149100257,0.014042867701404288,0.0275575323921872,0.005247113413186576
