model_name,threshold,precision,recall,f1,predicted_positive_rate,predicted_positive_customers
behavioral_only,0.05,0.29195751356485944,0.9995319044099532,0.4519136517554803,0.9372099924463149,138962
behavioral_only,0.06,0.29224142277798987,0.9995319044099532,0.45225368833499613,0.9362995036149778,138827
behavioral_only,0.07,0.2925587533261702,0.9995072677999507,0.4526310504677485,0.9352608719110823,138673
behavioral_only,0.08,0.2929856245033591,0.9992116284799212,0.4531113842028824,0.9336219920146758,138430
behavioral_only,0.09,0.2936676398356962,0.9986942596698695,0.45387315467426537,0.930971457861228,138037
behavioral_only,0.1,0.29466117602549363,0.9977827050997783,0.4549641645509897,0.926985540088486,137446
behavioral_only,0.11,0.29615066376703353,0.9964276915496427,0.45659548766926883,0.9210707348656523,136569
behavioral_only,0.12,0.2982308340353833,0.9942350332594235,0.4588307524387748,0.9126335383619294,135318
behavioral_only,0.13,0.3011913765603588,0.9909337275190934,0.4619687250549867,0.9006622963202763,133543
behavioral_only,0.14,0.3051006332924348,0.9863266814486327,0.46604077784050896,0.8849883996978526,131219
behavioral_only,0.15,0.30967089395471875,0.9805863513180586,0.4706953642384106,0.8668528110499623,128530
behavioral_only,0.16,0.3153529289671579,0.973220004927322,0.47635298089909317,0.8448392144167476,125266
behavioral_only,0.17,0.3213160227160818,0.9645971914264597,0.48205513352458107,0.8218139635264918,121852
behavioral_only,0.18,0.327437296451381,0.9536338999753634,0.4874909480180095,0.7972847199741017,118215
behavioral_only,0.19,0.33379283869616805,0.9425474254742547,0.4929964047781658,0.7730117621668285,114616
behavioral_only,0.2,0.3405408818647615,0.9300566642030057,0.49854073399099347,0.7476529621236646,110856
behavioral_only,0.21,0.34794913364133034,0.9147573293914757,0.5041377858941894,0.7196975828207618,106711
behavioral_only,0.22,0.35529480500511224,0.8989159891598916,0.5092926684579684,0.6926122261789144,102695
behavioral_only,0.23,0.3629135311656964,0.8815964523281596,0.5141674808897063,0.6650075536851192,98602
behavioral_only,0.24,0.3715900790752326,0.8648189209164819,0.5198249627934872,0.6371196179993526,94467
behavioral_only,0.25,0.3794437566324726,0.8456762749445677,0.5238451325407847,0.610121938059782,90464
behavioral_only,0.26,0.38706139084852614,0.8258930771125893,0.5270953387998333,0.5841224236538254,86609
behavioral_only,0.27,0.39442250323079336,0.8045577728504558,0.5293426373929182,0.5584129168015539,82797
behavioral_only,0.28,0.40164824069867233,0.784060113328406,0.5311868876537646,0.5343962447393978,79236
behavioral_only,0.29,0.40847748580483295,0.7621088938162109,0.5318775790921596,0.5107505125714903,75730
behavioral_only,0.3,0.415560008291301,0.7408721359940872,0.5324598291354964,0.48805573540520125,72365
behavioral_only,0.31,0.42215083637205536,0.7187484602118749,0.5318966617440609,0.4660893493039819,69108
behavioral_only,0.32,0.42895104470359574,0.695959595959596,0.5307667737632227,0.44415668501133054,65856
behavioral_only,0.33,0.4356473452242677,0.6745503818674551,0.5293941356741655,0.423876389338513,62849
behavioral_only,0.34,0.44228523769808176,0.653239714215324,0.527451760493336,0.4043244847307651,59950
behavioral_only,0.35,0.44845180068029594,0.6301305740330131,0.5239900024584119,0.3846579259738858,57034
behavioral_only,0.36,0.4542525773195876,0.6079083518107908,0.5199662838478558,0.36635372828315527,54320
behavioral_only,0.37,0.46045257993833744,0.5850209411185021,0.5153155890235566,0.3478134779324485,51571
behavioral_only,0.38,0.4667988309591449,0.56270017245627,0.5102827332745004,0.32999487428509766,48929
behavioral_only,0.39,0.47265052976139205,0.5407243163340725,0.5044009836140924,0.31318118053307437,46436
behavioral_only,0.4,0.48020387730954767,0.5199310174919931,0.49927843100144315,0.2964012085896191,43948
behavioral_only,0.41,0.48725294301740535,0.4986449864498645,0.49288314724396987,0.2801540412215388,41539
behavioral_only,0.42,0.4945404566163557,0.4786893323478689,0.48648580978730327,0.2649792273659221,39289
behavioral_only,0.43,0.5000539141686435,0.4570091155457009,0.47756352495945215,0.250188842127981,37096
behavioral_only,0.44,0.5067507778380385,0.43737373737373736,0.4695132433254433,0.2362752239128089,35033
behavioral_only,0.45,0.5140172753447492,0.4178369056417837,0.46096351158524157,0.22253021474047696,32995
behavioral_only,0.46,0.5206361470607173,0.3984232569598423,0.451404008262156,0.2094933635480738,31062
behavioral_only,0.47,0.5275885792913657,0.37785168760778515,0.4403387884008039,0.19605859501456782,29070
behavioral_only,0.48,0.5362324150058617,0.3606060606060606,0.43122293256341515,0.18409409733462825,27296
